Timestamp (UTC),GUST (m/s),TMP (C),RH (%),PRES (Pa),SUNSD (s),TSOIL (K),SNOD (m),ALBDO (%),TCDC_ATM (%),DSWRF (W/m^2)
8/28/2018 07:00:00,1.101,17.784,75.8,99865.547,3600,289.813,0,18.12,58,230
8/28/2018 08:00:00,1.006,20.287,64.3,99861.922,7200,290.113,0,16.8,58,390
8/28/2018 09:00:00,0.904,22.613,55.4,99841.016,10800,290.778,0,15.73,55,550
8/28/2018 10:00:00,1.3,24.629,48.6,99814.75,14400,291.562,0,14.91,50,670
8/28/2018 11:00:00,1.4,26.15,43.9,99782.484,18000,292.339,0,14.32,42,735
8/28/2018 12:00:00,1.404,27.184,40.8,99741.18,21600,293.178,0,13.95,35,767
8/28/2018 13:00:00,1.41,27.345,39.4,99694.375,3600,293.8,0,12.93,2,730
8/28/2018 14:00:00,1.736,27.074,38.5,99642.492,7200,294.4,0,13.2,1,670
8/28/2018 15:00:00,1.837,26.562,38.8,99593.383,10800,294.761,0,13.59,1,532
8/28/2018 16:00:00,1.807,25.95,40.8,99551.008,14400,294.961,0,14.05,1,388
8/28/2018 17:00:00,3.432,24.427,47.3,99525.914,18000,294.922,0,14.46,1,225
8/28/2018 18:00:00,3.221,21.689,50.9,99520.758,21600,294.722,0,14.64,0,65
8/28/2018 19:00:00,2.406,20.231,51.5,99546.469,900,294.422,0,16.17,0,0
8/28/2018 20:00:00,2.202,19.379,53.2,99555.711,900,294.186,0,16.17,0,0
8/28/2018 21:00:00,2.4,18.656,56.7,99552.398,900,293.775,0,16.17,2,0
8/28/2018 22:00:00,2.4,18.096,62.2,99526.156,900,293.549,0,16.17,12,0
8/28/2018 23:00:00,2.615,17.831,68.654,99471.508,900,293.174,0,16.17,18,0
8/29/2018 00:00:00,2.702,17.515,74.827,99421.07,900,292.961,0,16.17,23,0
8/29/2018 01:00:00,2.7,17.237,79.5,99379.953,0,292.746,0,0,99,0
8/29/2018 02:00:00,2.138,16.935,82.6,99378.289,0,292.507,0,0,82,0
8/29/2018 03:00:00,2.522,16.71,83.6,99310.719,0,292.3,0,0,78,0
8/29/2018 04:00:00,2.613,16.804,82.7,99256.094,0,292.066,0,0,84,0
8/29/2018 05:00:00,2.122,16.85,82.5,99315.711,900,291.9,0,15.08,87,0
8/29/2018 06:00:00,1.647,18.228,78.1,99341.906,4500,291.8,0,14.24,89,54
